Algorithm,Light,Moderate,Heavy,Average
Round Robin,92.92112737601047,99.18433931484503,99.87745780649476,97.32764149911675
EDF,92.46834036880692,99.0822809632128,99.84788732394368,97.13283621865446
Urgency,93.01357862461673,99.247117873108,99.87608426270135,97.37892692014202
