analysis,workload,chi2_statistic,p_value,dof,n,significant
overall,all,781.93828555075,1.6064661528603346e-163,8,109568,True
by_workload,light,3255.296224609618,0.0,8,14807,True
by_workload,moderate,352.5948114352876,2.529338862311959e-71,8,39397,True
by_workload,heavy,741.5715823670713,7.98938734081736e-155,8,55364,True
