analysis,workload,chi2_statistic,p_value,dof,n,significant
overall,all,825.1903617399213,1.0804186440978157e-155,28,109568,True
by_workload,light,3277.6239818587246,0.0,28,14807,True
by_workload,moderate,382.81649386121484,5.943374774100013e-64,28,39397,True
by_workload,heavy,805.8582314329243,1.2531603314827266e-151,28,55364,True
