thermal_component,workload_intensity,sample_size,total_response_mean,total_response_std,total_response_cv,cv_within_threshold,cv_rating
warm_50ms,light,4829,50.99530337544005,0.2697267659761716,0.5289247207539416,True,Excellent
warm_50ms,moderate,1281,51.06730210772833,0.2503646435768567,0.4902640892379695,True,Excellent
warm_50ms,heavy,196,51.08957653061225,0.22772948247856023,0.44574548849921963,True,Excellent
full_cold_300ms,light,808,301.2521349009901,0.2617289722011251,0.08688037091824935,True,Excellent
full_cold_300ms,moderate,202,301.3049801980198,0.2527325678453633,0.08387931977734508,True,Excellent
full_cold_300ms,heavy,40,301.3433,0.19269242131119177,0.06394448501466327,True,Excellent
