workload_intensity,thermal_component,job_count,pct_of_workload_cooling,pct_of_total_cooling
light,warm_50ms,4829,85.66613446868901,65.64709081022295
light,full_cold_300ms,808,14.33386553131098,10.984230560087003
moderate,warm_50ms,1281,86.37896156439649,17.41435562805873
moderate,full_cold_300ms,202,13.621038435603506,2.7460576400217507
heavy,warm_50ms,196,83.05084745762711,2.6644915715062534
heavy,full_cold_300ms,40,16.94915254237288,0.5437737901033171
