algorithm_combination,cooling_delay,no_delay,queue_time_delay
edf_job+fastest_worker_fair,8.402915591602273,-0.4155237404742854,-0.41347479506214185
edf_job+least_loaded_fair,-4.482197524244172,0.3840660459782971,-0.13484080348732147
edf_job+network_optimal_fair,10.406501520560903,-1.4488706766564274,1.532198206355471
edf_job+random_worker,-3.8798744506873484,1.4463761966123792,-2.5540755991550017
edf_job+rr_worker,-4.452618037049613,-0.03233288032183188,0.7716194826001864
rr_job+fastest_worker_fair,12.474774825929552,-1.5288210849011106,1.3815762087773724
rr_job+least_loaded_fair,-4.360233033624084,1.077766134470865,-1.6719136927223945
rr_job+network_optimal_fair,5.7731013224795085,0.18936211231175581,-1.3230658677124132
rr_job+random_worker,-4.449745071031354,0.419381732654728,-0.21722276939342228
rr_job+rr_worker,-4.460748059031437,0.1773309398229379,0.3141369162765942
urgency_job+fastest_worker_fair,12.546589032021322,-2.179742154899764,2.794542877864374
urgency_job+least_loaded_fair,-4.489799306299984,0.25236542677174245,0.1545279352302944
urgency_job+network_optimal_fair,8.0687823891964,-0.48556239264833934,-0.20762942122552666
urgency_job+random_worker,-4.502598211140378,-0.4072405852947377,1.5998166765308564
urgency_job+rr_worker,-4.503071546039045,0.6499920295619984,-0.7134237806854772
