algorithm,workload_intensity,churn_rate,total_jobs,total_transitions,total_churn_transitions,worker_slots
edf_job,light,7.531659631193068,4895,4501,339,394
rr_job,light,7.078872623989513,4962,4577,324,385
urgency_job,light,6.986421375383268,4950,4566,319,384
edf_job,moderate,0.917719036787199,13092,12749,117,343
rr_job,moderate,0.8156606851549755,13214,12873,105,341
urgency_job,moderate,0.7528821268920085,13091,12751,96,340
edf_job,heavy,0.15211267605633802,18116,17750,27,366
rr_job,heavy,0.12254219350526376,18317,17953,22,364
urgency_job,heavy,0.12391573729863693,18931,18561,23,370
