workload_intensity,total_jobs,total_response_mean,total_response_std,total_response_cv,processing_time_mean,processing_time_std,processing_time_cv,queue_time_mean,queue_time_std,cooling_penalty_mean,cooling_penalty_std,warm_penalty_mean,full_cold_penalty_mean,all_penalties_mean,all_penalties_std
light,14807,139.61566637401228,310.87605435805625,222.66559508104166,0.9920424123725265,0.28007903780228216,28.23256690532585,102.45154318903221,303.2514388427884,36.17208077260755,71.3767439322828,17.795637198622273,18.376443573985277,138.62362396163977,310.8604388543313
moderate,39397,143.6789392339518,346.9808683900816,241.49737619171455,1.0107157651597836,0.2511266902547131,24.846420617077506,138.9192070462218,345.8665889118462,3.7490164225702465,25.332227603700417,1.875777343452547,1.8732390791176994,142.66822346879204,346.978301085572
heavy,55364,173.58444124340727,377.58983274570795,217.5251595367559,1.0481360631457266,0.2208374249393014,21.06953788771577,172.0432049707391,377.4214004398696,0.49310020952243333,9.808728685827054,0.20590997760277435,0.287190231919659,172.53630518026154,377.5872629973115
