primary_delay_stratus,sample_size,algorithm_combinations,workload_intensities,algo_f_stat,algo_p_value,algo_eta_squared,algo_effect_class,workload_f_stat,workload_p_value,workload_eta_squared,workload_effect_class,interaction_f_stat,interaction_p_value,interaction_eta_squared,interaction_effect_class,r_squared,adj_r_squared
no_delay,85697,15,3,50.072706515968314,6.205413566368155e-140,0.00794766369403903,Negligible,595.6666390465208,1.2241856584291948e-257,0.013506525811023986,Small,23.56860554464128,1.4788414572757715e-120,0.007481734607117237,Negligible,0.0282764374502531,0.027777256616738577
cooling_delay,7356,15,3,0.11634597935752419,0.9999766767406046,0.00022127650963072254,Negligible,4.329206026218403e-09,0.9999999956709859,1.1762351322984097e-12,Negligible,1.5176656444162375,0.156094981551115,0.005772846787441106,Negligible,0.03345166990502779,0.028432012047489352
queue_time_delay,16515,15,3,6.075601220655253,3.4995148923290743e-12,0.005041265316409484,Negligible,79.58749242191955,3.9952814288606675e-35,0.00943402614102242,Negligible,5.650026754761031,5.2560980323735457e-20,0.00937628487489523,Negligible,0.023568071770867394,0.02095951045683697
