,stability_rate,stability_rate,stability_rate,stability_rate,total_jobs,total_stability_transitions
,mean,std,min,max,sum,sum
algorithm,,,,,,
fastest_worker_fair,98.94,0.39,98.67,99.4,16020,15377
least_loaded_fair,98.47,1.39,97.29,100.0,25243,24402
network_optimal_fair,98.59,1.08,97.4,99.52,16608,15917
random_worker,92.71,12.51,78.26,99.99,25723,24326
rr_worker,96.84,5.47,90.52,100.0,25974,24887
