worker_algorithm,cooling_delay,no_delay,queue_time_delay
fastest_worker_fair,212,5130,972
least_loaded_fair,315,6892,1168
network_optimal_fair,204,5687,864
random_worker,593,7100,1328
rr_worker,159,7632,1141
