primary_delay_stratus,workload_intensity,sample_size,processing_time_mean,processing_time_std,processing_time_cv,cv_deviation_from_baseline,cv_within_acceptable_threshold,cv_consistency_rating
no_delay,overall,85697,1.0239048158045205,0.23831468620976243,23.27508207122843,0.2543105384799418,True,Excellent
no_delay,light,7653,0.9624229713837711,0.2729878761656038,28.36464675953256,4.835254149824191,True,Good
no_delay,moderate,32441,1.0064145063345766,0.2502058418386275,24.861112420755195,1.331719811046824,True,Excellent
no_delay,heavy,45603,1.0466648027542047,0.21981608580331227,21.001574259962304,2.5278183497460667,True,Excellent
cooling_delay,overall,7356,1.0489605764002177,0.27981753172886725,26.675695733879174,3.146303124170803,True,Good
cooling_delay,light,5637,1.0321172609544085,0.28325280230927835,27.44385866072541,3.9144660510170404,True,Good
cooling_delay,moderate,1483,1.099676331759946,0.2635389338638761,23.965136490852963,0.4357438811445924,True,Excellent
cooling_delay,heavy,236,1.1325805084745761,0.2414451479078654,21.318144370421617,2.2112482392867534,True,Excellent
queue_time_delay,overall,16515,1.0339461701483499,0.2399949437753667,23.211551114013258,0.317841495695113,True,Excellent
queue_time_delay,light,1517,0.9925537244561634,0.2851245213223028,28.726356498085508,5.196963888377137,True,Good
queue_time_delay,moderate,5473,1.0121059747853096,0.2486723601743083,24.569794702284735,1.0404020925763646,True,Excellent
queue_time_delay,heavy,9525,1.0530877690288714,0.2246946429089568,21.33674414585254,2.192648463855832,True,Excellent
