algorithm_combination,cooling_delay,no_delay,queue_time_delay
edf_job+fastest_worker_fair,-9.766412497512208,8.870130694691023,-1.0965672944985128
edf_job+least_loaded_fair,-7.630695445262789,5.77200028900275,1.7451030913825591
edf_job+network_optimal_fair,-7.536729960479093,6.2242760163510225,0.5481268286595617
edf_job+random_worker,9.086826679408107,-7.4723702355313115,-0.7328861578857394
edf_job+rr_worker,16.600821616211576,-14.20240937868909,-0.10120870249740066
rr_job+fastest_worker_fair,-10.689759541067865,9.256744365015466,-0.1850258138869307
rr_job+least_loaded_fair,-8.38704553512695,5.7570990577274666,3.23656075397415
rr_job+network_optimal_fair,-8.938313369437205,7.8060844142930135,-0.30294255515950796
rr_job+random_worker,10.3733159001843,-7.563515967711702,-3.008084897747207
rr_job+rr_worker,17.79946363972916,-14.760965245433502,-1.157232258532729
urgency_job+fastest_worker_fair,-10.429354727075175,8.001295592452928,2.1328257180144323
urgency_job+least_loaded_fair,-8.98027288700267,7.4309204857411775,0.6205852922816351
urgency_job+network_optimal_fair,-7.974959990757943,7.265427418411286,-0.945610872010431
urgency_job+random_worker,9.410450395194577,-7.858506970507444,-0.48943409145423306
urgency_job+rr_worker,17.856741303930388,-15.182398008368459,-0.3210773175040191
