algorithm,workload_intensity,stability_rate,total_jobs,total_transitions,total_stability_transitions,worker_slots
edf_job,light,92.46834036880693,4895,4501,4162,394
rr_job,light,92.92112737601047,4962,4577,4253,385
urgency_job,light,93.01357862461673,4950,4566,4247,384
edf_job,moderate,99.0822809632128,13092,12749,12632,343
rr_job,moderate,99.18433931484503,13214,12873,12768,341
urgency_job,moderate,99.247117873108,13091,12751,12655,340
edf_job,heavy,99.84788732394367,18116,17750,17723,366
rr_job,heavy,99.87745780649475,18317,17953,17931,364
urgency_job,heavy,99.87608426270135,18931,18561,18538,370
