worker_algorithm,cooling_delay,no_delay,queue_time_delay
fastest_worker_fair,130,5296,1214
least_loaded_fair,0,11556,2346
network_optimal_fair,104,5635,1186
random_worker,2,11472,2347
rr_worker,0,11644,2432
